rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity
31,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,37,104,16322946,chill pop,75
32,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,26,34,39,16290024,garage rock,84
33,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,33,39,16215584,argentine hip hop,83
34,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,32,131,16142803,canadian contemporary r&b,92
35,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,14,36,32,15969070,modern indie pop,75
36,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Interscope Records,7,40,44,15886659,piano rock,80
37,spotify:track:5mHdCZtVyb4DcJw8799hZp,"RAYE, 070 Shake",Escapism.,Human Re Sources,10,35,19,15854784,uk contemporary r&b,78
38,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,14,39,14,15526004,k-pop,80
39,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,24,44,25,15390611,detroit hip hop,87
40,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,Uptown / Republic Records,20,42,11,14961631,new jersey underground rap,72
41,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,32,41,33,14802782,colombian pop,88
42,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",La Jumpa,Rimas Entertainment LLC.,8,43,18,14652227,latin hip hop,81
43,spotify:track:7MVIfkyzuUmQ716j8U7yGR,"Taiu, Milo j",Rara Vez,Universal Music Argentina S.A.,40,47,6,14626843,trap argentino,68
44,spotify:track:7cQ0LAxT5HHCLGbxcjaxac,"Bizarrap, Arcángel","Arcángel: Bzrp Music Sessions, Vol. 54",DALE PLAY Records,23,23,2,14614849,argentine hip hop,83
45,spotify:track:59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,BIGHIT MUSIC,14,19,3,13964941,k-pop,81
46,spotify:track:4hy7qTxsnyZUZoqo5RtaYq,Ed Sheeran,Eyes Closed,Atlantic Records UK,27,27,2,13963076,pop,86
47,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,26,50,56,13776598,modern rock,84
48,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,32,46,15,13700905,pop,87
49,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,12,16,3,13696637,pop,100
50,spotify:track:2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,ceilings,Harbour Artists & Music,35,45,7,13667484,alt z,70
51,spotify:track:3kf0WdFOalKWBkCCLJo4mA,Chino Pacas,El Gordo Trae El Mando,STREET MOB,51,54,8,13632030,corrido,76
52,spotify:track:55ZATsjPlTeSTNJOuW90pW,"Cartel De Santa, La Kelly",Shorty Party,"Babilonia Music, S.A. De C.V.",16,38,5,13361141,latin hip hop,74
53,spotify:track:0CYTGMBYkwUxrj1MWDLrC5,Feid,CHORRITO PA LAS ANIMAS,UMLE - Latino,42,52,15,13322911,colombian pop,88
54,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,5K Records Limited,52,59,12,13275132,afrobeats,67
55,spotify:track:0UbesRsX2TtiCeamOIVEkp,"Fuerza Regida, Natanael Cano",Ch y la Pizza,Rancho Humilde/Street Mob Records,55,68,11,13239457,corrido,86
56,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,56,175,13211635,canadian contemporary r&b,92
57,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,58,48,13138128,reggaeton,95
58,spotify:track:6OfOzTitafSnsaunQLuNFw,"Tyler, The Creator",DOGTOOTH,Columbia,58,-1,1,13120096,hip hop,82
59,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,"Oscar Maydon, Junior H",Fin de Semana,Rancho Humilde,45,53,12,13067846,corrido,74
60,spotify:track:04ndZkbKGthTgYSv3xS7en,TINI,Cupido,5020 Records,49,55,7,12973322,latin pop,76
61,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,14,49,17,12748831,r&b,77
