rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity
102,spotify:track:6WbAhuwE6fCOriBu5786X1,"KAROL G, Ovy On The Drums",CAIRO,Universal Music Latino,75,75,3,10333590,reggaeton,88
103,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment/Interscope Records,1,71,12,10203750,k-pop,80
104,spotify:track:5JhUm1v5AbI5Yu6jLKCPRO,Grupo Frontera,NO SE VA - EN VIVO,Grupo Frontera,36,74,11,10179388,musica chihuahuense,83
105,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Republic Records,2,88,105,10140208,canadian contemporary r&b,92
106,spotify:track:09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,Universal Republic Records,1,95,59,9971366,canadian contemporary r&b,92
107,spotify:track:3SsJ17EnPIu1B4GZshqjIS,"Metro Boomin, A$AP Rocky, Takeoff",Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),Republic Records,107,-1,1,9912090,rap,85
108,spotify:track:1597vvneWf0zoQrg2D8yH6,"MC MENOR HR, MC MENOR SG, DJ ESCOBAR",Evoque Prata,GUETTO RECORDS,69,81,4,9741120,funk mtg,54
109,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,Quevedo,VISTA AL MAR,Quevedo,45,83,13,9740313,rap canario,83
110,spotify:track:34ZAzO78a5DAVNrYIGWcPm,SZA,Shirt,Top Dawg Entertainment/RCA Records,25,90,6,9545696,pop,87
111,spotify:track:3CIyK1V4JEJkg02E4EJnDl,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,3,99,58,9522204,modern rock,84
112,spotify:track:4fsQ0K37TOXa3hEQfjEic1,LE SSERAFIM,ANTIFRAGILE,SOURCE MUSIC,80,86,7,9482161,k-pop girl group,75
